Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
14,19528,0.92,15393,0.93,4351
15,19278,0.99,14874,0.97,4651
16,19480,1.01,14796,0.99,5039
17,21082,1.08,16060,1.09,6456
18,22214,1.05,16865,1.05,6481
19,24610,1.11,17940,1.06,7202
20,26165,1.06,19543,1.09,8250
21,27627,1.06,20855,1.07,8133
22,29438,1.07,21592,1.04,8123
23,29764,1.01,22193,1.03,8244
24,32460,1.09,23598,1.06,9487
25,34012,1.05,25099,1.06,9893
26,36081,1.06,26559,1.06,10480
27,36556,1.01,26972,1.02,9787
28,37665,1.03,28161,1.04,10527
29,38367,1.02,28518,1.01,10194
30,38807,1.01,28835,1.01,10288
31,39136,1.01,28903,1,10120
2,38254,0,21200,0.7,0
3,34187,0.89,26327,1.24,14574
4,33675,0.99,25625,0.97,8215
5,33679,1,25527,1,8738
6,35658,1.06,26162,1.02,9449
7,34982,0.98,26556,1.02,9568
8,34287,0.98,25995,0.98,8424
9,31672,0.92,24564,0.94,7388
10,28173,0.89,22293,0.91,6036
11,25254,0.9,19939,0.89,4905
12,21623,0.86,17569,0.88,4207
13,19395,0.9,15307,0.87,3365
14,18797,0.97,14662,0.96,4490
15,18520,0.99,14164,0.97,4478
16,19391,1.05,14757,1.04,5627
17,20040,1.03,15223,1.03,5623
18,21727,1.08,16127,1.06,6152
19,23616,1.09,17615,1.09,7284
20,25836,1.09,18831,1.07,7411
21,26297,1.02,19971,1.06,7906
22,28097,1.07,21091,1.06,8023
23,31373,1.12,22772,1.08,8960
24,30523,0.97,23106,1.01,8462
25,31732,1.04,23495,1.02,8495
26,33184,1.05,24207,1.03,9012
27,34215,1.03,25626,1.06,10108
28,36907,1.08,27178,1.06,10588
29,37067,1,27420,1.01,9906
30,40483,1.09,29244,1.07,11544
31,40843,1.01,29876,1.02,11081
2,37536,0,21116,0.7,0
3,35569,0.95,27099,1.28,15294
4,35743,1,26561,0.98,8585
5,35992,1.01,26934,1.01,9779
6,35731,0.99,26964,1,9436
7,35881,1,26417,0.98,8657
8,35670,0.99,26587,1.01,9582
9,33183,0.93,25065,0.94,7710
10,30951,0.93,23714,0.95,7364
11,27806,0.9,21696,0.91,6086
12,24377,0.88,19565,0.9,5132
13,22678,0.93,17764,0.91,4523
14,21886,0.97,16898,0.95,5238
15,21984,1,16815,1,5759
16,21932,1,16646,0.99,5548
17,22473,1.02,17258,1.04,6438
18,23646,1.05,17638,1.02,6314
19,24249,1.03,18552,1.05,7194
20,26262,1.08,19116,1.03,7109
21,27409,1.04,20491,1.07,8200
22,30388,1.11,22363,1.09,9123
23,32020,1.05,23725,1.06,9324
24,32750,1.02,24684,1.04,9404
25,35948,1.1,25983,1.05,9836
26,37165,1.03,27640,1.06,11057
27,39358,1.06,28832,1.04,10785
28,38634,0.98,29221,1.01,10624
29,39278,1.02,29247,1,10133
30,38238,0.97,29433,1.01,10396
31,38758,1.01,28733,0.98,9289
2,36185,0,21241,0.7,0
3,33478,0.93,25395,1.2,13172
4,34209,1.02,25563,1.01,8983
5,34043,1,25906,1.01,9317
6,35971,1.06,26905,1.04,9959
7,36458,1.01,27615,1.03,10009
8,34843,0.96,26727,0.97,8677
9,34292,0.98,25680,0.96,8012
10,30550,0.89,24030,0.94,7138
11,27914,0.91,21980,0.91,5972
12,24582,0.88,19414,0.88,4844
13,22569,0.92,17701,0.91,4691
14,21601,0.96,17051,0.96,5238
15,21895,1.01,16680,0.98,5422
16,23331,1.07,17453,1.05,6727
17,24027,1.03,18211,1.04,6923
18,25559,1.06,19103,1.05,7273
19,27168,1.06,20035,1.05,7770
20,28606,1.05,20960,1.05,8065
21,29499,1.03,21986,1.05,8525
22,30452,1.03,22931,1.04,8557
23,33297,1.09,24667,1.08,9786
24,35173,1.06,26279,1.07,10284
25,35287,1,26456,1.01,9177
26,34930,0.99,26400,1,9133
27,36304,1.04,26850,1.02,9554
28,37864,1.04,27926,1.04,10529
29,38169,1.01,28505,1.02,10470
30,38953,1.02,28909,1.01,10245
31,40715,1.05,29943,1.04,11234
2,36615,0,21277,0.7,0
3,35156,0.96,26293,1.24,14290
4,34053,0.97,25691,0.98,8340
5,35552,1.04,26393,1.03,9664
6,36452,1.03,27139,1.03,9952
7,37122,1.02,27628,1.02,9981
8,35703,0.96,27059,0.98,9049
9,32838,0.92,25214,0.93,7263
10,31204,0.95,23996,0.95,7300
11,27640,0.89,22033,0.92,6008
12,24294,0.88,19389,0.88,4515
13,21834,0.9,17531,0.9,4569
14,21390,0.98,16548,0.94,4697
15,21675,1.01,16354,0.99,5518
16,22482,1.04,16476,1.01,5865
17,24261,1.08,17924,1.09,7466
